model,model_path,random_state,parent_run_id,n_features_in,feature_names_in,best_performance_tuning,concordance_index_censored,concordance_index_ipcw,integrated_brier_score,mean_cumulative_dynamic_auc
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_114.pkl,114,goofy_key_r6j4jfrvbw,10,,-0.9292508917954816,0.8657240634005764,0.8385387536584118,0.034522968129802704,0.9064636109630931
RandomSurvivalForest_T0,raw_RandomSurvivalForest_T0_90.pkl,90,red_shoe_sw899k9594,16,,-0.9143920595533499,0.8943429844097995,0.8764509089509214,0.033977855445596325,0.9202948656920722
SurvivalTree_T0,raw_SurvivalTree_T0_89.pkl,89,modest_door_nm9dxgckkq,7,,-0.8622848200312989,0.8273367952522255,0.834934350854389,0.035940946028779897,0.8151411049092943
GradientBoostingSurvivalAnalysis_T1,raw_GradientBoostingSurvivalAnalysis_T1_95.pkl,95,quirky_double_b1fxktnczj,4,,-0.9501449275362319,0.8460922787193974,0.8151022609683395,0.03191702726086108,0.8996881977713518
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_89.pkl,89,modest_door_nm9dxgckkq,13,,-0.9161816065192084,0.8329005934718101,0.8449103665749866,0.04062661964641665,0.8090416203244238
ComponentwiseGradientBoostingSurvivalAnalysis_T1,raw_ComponentwiseGradientBoostingSurvivalAnalysis_T1_104.pkl,104,joyful_panda_4c311f7d49,16,,-0.9337729357798165,0.8841286580543106,0.8541287794473521,0.03229559591564833,0.9251353499515602
SurvivalTree_T0,raw_SurvivalTree_T0_73.pkl,73,mighty_beet_0h7bfp7shz,10,,-0.9285714285714286,0.7927335016227912,0.7885184429390587,0.03808004569134234,0.8020088509921475
CoxnetSurvivalAnalysis_T1,raw_CoxnetSurvivalAnalysis_T1_91.pkl,91,dynamic_engine_b27tvvlg8k,13,,-0.9530277306168647,0.913269020749909,0.9092535162221957,0.03332037504428832,0.9240598800219848
CoxPHSurvivalAnalysis_T0,raw_CoxPHSurvivalAnalysis_T0_73.pkl,73,mighty_beet_0h7bfp7shz,16,,-0.914519906323185,0.8570140641904075,0.8542537171137327,0.03683801068008109,0.8601166316468708
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_89.pkl,89,modest_door_nm9dxgckkq,16,,-0.9219143576826196,0.817692878338279,0.8310715938245044,0.03888255501454815,0.7935952689428851
ExtraSurvivalTrees_T1,raw_ExtraSurvivalTrees_T1_91.pkl,91,dynamic_engine_b27tvvlg8k,13,,-0.9383135257498585,0.9028940662540954,0.8967460638778757,0.03253356679000018,0.9190258911393617
CoxnetSurvivalAnalysis_T0,raw_CoxnetSurvivalAnalysis_T0_73.pkl,73,mighty_beet_0h7bfp7shz,16,,-0.9033957845433255,0.856833754056978,0.8476036188426058,0.037365299337982216,0.872100497832285
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_89.pkl,89,modest_door_nm9dxgckkq,10,,-0.90046565774156,0.8275222551928784,0.8381736029995915,0.034133851268679564,0.806709316639898
ExtraSurvivalTrees_T0,raw_ExtraSurvivalTrees_T0_73.pkl,73,mighty_beet_0h7bfp7shz,16,,-0.9032258064516129,0.8585467003245583,0.8591983478576727,0.035581515214075654,0.859105175033857
