model,model_path,random_state,parent_run_id,n_features_in,feature_names_in,best_performance_tuning,concordance_index_censored,concordance_index_ipcw,integrated_brier_score,mean_cumulative_dynamic_auc
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_914.pkl,914,a8e78d0e-f32d-421d-badf-c13b5b22b65d,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8623873873873874,0.8607560805881987,0.03292667810323002,0.8565536155654205
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_996.pkl,996,7f13d85f-7282-4bdd-82b1-1f789976f30a,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.7955345060893099,0.7873422219688768,0.035266317263312974,0.8321782819029738
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_975.pkl,975,8d11f9a6-1ced-4632-82c6-fa681fced649,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8709352386186682,0.8443546622853864,0.02911314266625111,0.8975561603587258
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_968.pkl,968,45a088fe-7102-4955-99d7-624f00c4a5fe,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.795536959553696,0.7749254843928914,0.027253151272293098,0.8190234615909331
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_963.pkl,963,49cc8186-e0dd-49ac-874a-8a918a088b37,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8400248160950102,0.8347171351779913,0.03290159061143565,0.869009629057605
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_932.pkl,932,dec4e0c4-20a2-4c85-8ebd-e506722fc9bd,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.7979051419243675,0.8077117720816893,0.02825943551273279,0.7835809052131707
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_890.pkl,890,d7b5b57c-234e-483a-af01-e4f35a06cbdc,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.7770775186819123,0.778848058109612,0.0378062940406704,0.7880634212879207
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_885.pkl,885,ce53ae25-4d4b-4302-a712-d97990c7a464,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.821725860155383,0.7986277658241485,0.03017714788207531,0.8634806466264197
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_828.pkl,828,a235eab8-3339-4445-a5af-970bea5fa797,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8680003532944709,0.8335245539883573,0.027315757577630655,0.922937061186744
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_826.pkl,826,304838da-e003-4aca-b22d-c841cfad0b74,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8297565960609439,0.799166546556317,0.027933711222718545,0.8749724192173575
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_825.pkl,825,370e485f-aa9f-4300-a69c-751e3b9d9485,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.7481454005934718,0.7510588838204434,0.03371271789086225,0.7640839293387525
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_818.pkl,818,2b80e38c-ab35-479d-9049-3701b8a2bd36,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8375066833006595,0.8217561178152153,0.032115124278035916,0.8658908696688221
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_805.pkl,805,56465bd7-1840-49b0-8e61-1a7195b9668b,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8079506763596209,0.7930923422773035,0.03022012814611325,0.8337553484090692
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_790.pkl,790,a6d70ccc-f3e6-4c3f-b0e2-4d4221eeab73,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.7938711131140154,0.7871410765930087,0.035187493040132994,0.8024167587951413
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_775.pkl,775,be4d6ffa-def4-414f-9824-4d480e56c99a,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8430043383947939,0.8238270780025002,0.02959117218034159,0.8854935176606169
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_771.pkl,771,ba2b517b-18ed-4e2b-ae24-5c0f6b3105ab,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.865559698257175,0.8522972012705609,0.032767847475136065,0.8896881218667521
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_759.pkl,759,25737f0c-940b-425c-9a32-a0365c14b50f,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8104449606862044,0.7789592467401585,0.03383474354603778,0.8628516313579467
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_758.pkl,758,7ed09f2a-998d-4e13-8293-d3ade32ed199,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8163605258418872,0.8057253031651621,0.03377282714126784,0.8435728766302985
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_755.pkl,755,15e4a196-acf7-441f-85cf-c73274cfbe71,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8471293837560663,0.824360362714434,0.03271454380216004,0.8823932220439121
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_754.pkl,754,77649281-a308-4572-a26c-108f7fceeabb,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.7841920690585379,0.7735945967887509,0.03780932556506929,0.8214052879901657
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_734.pkl,734,ba315012-d171-4142-a504-1e2d24fd859d,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8121064009775355,0.7941164108660403,0.02945729174786603,0.8466375623634748
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_733.pkl,733,056266dc-228e-417f-9b95-51ab797b82af,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8440531800215595,0.8211701315188067,0.03198474919013554,0.8778866426330643
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_718.pkl,718,59243242-b48a-40e3-a281-016939d6d0e7,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8440994362813049,0.8228482745067146,0.03099630209271101,0.8930157847430606
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_704.pkl,704,d99442c7-2342-45c1-96d4-5d220407fbd5,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8567630891231864,0.8172607367464265,0.029130833680110674,0.9124016270519583
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_697.pkl,697,8da8ef54-e982-4402-a54a-2bad4d0507d4,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.7926481084939329,0.787690192512699,0.03473102599481861,0.825330918567588
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_694.pkl,694,3546325b-986a-49a0-9906-6bb6d4b0cce0,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.806721536351166,0.8017112566366211,0.031315328626633526,0.823719486631432
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_692.pkl,692,7e7a4ede-dd12-4633-a16c-85f874659ddc,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.9019134396355353,0.894452146893864,0.03167246016148743,0.9207197816667168
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_667.pkl,667,39431b59-fb98-448b-8872-730d0977c27d,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8452192533283679,0.8435878040278594,0.03380964113857092,0.8584657114611532
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_665.pkl,665,e3c59d8d-e250-478c-a072-99a93ea6628d,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8899746652189648,0.887076832065717,0.03150278735731689,0.9026448301030828
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_654.pkl,654,df459be4-3058-4925-9feb-4b3dd1c7fdf3,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8142301429346843,0.8035590692352697,0.03178248795673715,0.8469439528593936
CoxPHSurvivalAnalysis_grant_finetune_T1,larcher_CoxPHSurvivalAnalysis_grant_finetune_T1_619.pkl,619,86c8c397-0262-4614-94af-7ec4f2161580,4,['age_binary' 'pT_binary' 'pN_1_0' 'grade_binary'],,0.8728085867620752,0.8653207555360561,0.03610222921303009,0.8915688440155993
